,Chart Position,Artist and Title,Position Duration,Peak,(x?),Points,Country,Country Rank
4774,198,Elton John & Dua Lipa - Cold Heart,787,1,41,1056,NZ,49.0
4776,1,Doja Cat - Paint The Town Red,68,1,45,16920,TR,21.0
4777,2,Tate McRae - greedy,27,2,9,14619,TR,61.0
4778,3,Drake - IDGAF,6,3,1,13364,TR,58.0
4779,4,Drake - First Person Shooter,6,3,2,12624,TR,99.0
4780,5,Drake - Virginia Beach,6,2,2,12359,TR,168.0
4975,1,Doja Cat - Paint The Town Red,68,1,45,16920,TW,9.0
4976,2,Tate McRae - greedy,27,2,9,14619,TW,74.0
4980,6,Olivia Rodrigo - vampire,104,1,22,10868,TW,93.0
4981,7,Taylor Swift - Cruel Summer,245,1,13,10731,TW,20.0
5174,1,Doja Cat - Paint The Town Red,68,1,45,16920,ZA,42.0
5175,2,Tate McRae - greedy,27,2,9,14619,ZA,32.0
5176,3,Drake - IDGAF,6,3,1,13364,ZA,4.0
5177,4,Drake - First Person Shooter,6,3,2,12624,ZA,2.0
5178,5,Drake - Virginia Beach,6,2,2,12359,ZA,3.0
5179,6,Olivia Rodrigo - vampire,104,1,22,10868,ZA,96.0
5180,7,Taylor Swift - Cruel Summer,245,1,13,10731,ZA,71.0
5191,18,Dua Lipa - Dance The Night,139,1,19,7035,ZA,132.0
5195,22,Dave & Central Cee - Sprinter,132,2,20,6672,ZA,56.0
5203,30,Billie Eilish - What Was I Made For,90,2,10,5425,ZA,68.0
5205,32,Miley Cyrus - Flowers,272,1,168,5145,ZA,101.0
5206,33,Taylor Swift - Anti-Hero,356,1,50,5108,ZA,118.0
5212,39,Rema & Selena Gomez - Calm Down,393,2,32,4261,ZA,49.0
5215,42,Harry Styles - As It Was,559,1,177,4017,ZA,106.0
5243,70,SZA - Kill Bill,307,1,3,2487,ZA,169.0
5257,84,Travis Scott - MELTDOWN,76,1,3,1860,ZA,70.0
5260,87,OneRepublic - I Ain't Worried,492,2,27,1833,ZA,84.0
5318,145,Travis Scott - FEN,73,2,2,1301,ZA,93.0
5341,168,Glass Animals - Heat Waves,1029,2,13,1177,ZA,135.0
5358,185,Chris Brown - Under the Influence,432,2,17,1110,ZA,72.0
5371,198,Elton John & Dua Lipa - Cold Heart,787,1,41,1056,ZA,177.0
5373,1,Doja Cat - Paint The Town Red,68,1,45,16920,AE,7.0
5374,2,Tate McRae - greedy,27,2,9,14619,AE,4.0
5375,3,Drake - IDGAF,6,3,1,13364,AE,2.0
5376,4,Drake - First Person Shooter,6,3,2,12624,AE,1.0
5377,5,Drake - Virginia Beach,6,2,2,12359,AE,3.0
5378,6,Olivia Rodrigo - vampire,104,1,22,10868,AE,22.0
5379,7,Taylor Swift - Cruel Summer,245,1,13,10731,AE,15.0
5390,18,Dua Lipa - Dance The Night,139,1,19,7035,AE,35.0
5394,22,Dave & Central Cee - Sprinter,132,2,20,6672,AE,19.0
5402,30,Billie Eilish - What Was I Made For,90,2,10,5425,AE,41.0
5404,32,Miley Cyrus - Flowers,272,1,168,5145,AE,47.0
5405,33,Taylor Swift - Anti-Hero,356,1,50,5108,AE,73.0
5411,39,Rema & Selena Gomez - Calm Down,393,2,32,4261,AE,16.0
5414,42,Harry Styles - As It Was,559,1,177,4017,AE,67.0
5420,48,David Kushner - Daylight,181,2,14,3657,AE,90.0
5421,49,The Weeknd - Blinding Lights,1354,1,114,3624,AE,40.0
5434,62,Taylor Swift - Lover,412,3,13,2739,AE,88.0
5442,70,SZA - Kill Bill,307,1,3,2487,AE,42.0
5456,84,Travis Scott - MELTDOWN,76,1,3,1860,AE,32.0
5495,123,Nicki Minaj & Ice Spice - Barbie World,110,2,2,1468,AE,57.0
5498,126,Ed Sheeran - Perfect,1982,1,2,1446,AE,91.0
5517,145,Travis Scott - FEN,73,2,2,1301,AE,46.0
